trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
Acav1,08:40:00,08:40:00,sncf,1,0,0
Acav1,08:44:00,08:44:00,repu,2,0,0
Acav1,08:47:00,08:47:00,delattre,3,0,0
Acav1,08:49:00,08:49:00,salvetteAC,4,0,0
Acav1,08:51:00,08:51:00,madeleine1AC,5,0,0
Acav1,08:52:00,08:52:00,musique1A,6,0,0
Acav1,08:53:00,08:53:00,sicard1A,7,0,0
Acav1,08:55:00,08:55:00,briand1,8,0,0
Acav1,08:58:00,08:58:00,croze1,9,0,0
Acav1,08:59:00,08:59:00,bordeaux1,10,0,0
Acav1,09:00:00,09:00:00,cavaille,11,0,0
Acav2,09:40:00,09:40:00,sncf,1,0,0
Acav2,09:44:00,09:44:00,repu,2,0,0
Acav2,09:47:00,09:47:00,delattre,3,0,0
Acav2,09:49:00,09:49:00,salvetteAC,4,0,0
Acav2,09:51:00,09:51:00,madeleine1AC,5,0,0
Acav2,09:52:00,09:52:00,musique1A,6,0,0
Acav2,09:53:00,09:53:00,sicard1A,7,0,0
Acav2,09:55:00,09:55:00,briand1,8,0,0
Acav2,09:58:00,09:58:00,croze1,9,0,0
Acav2,09:59:00,09:59:00,bordeaux1,10,0,0
Acav2,10:00:00,10:00:00,cavaille,11,0,0
Acav3,10:45:00,10:45:00,sncf,1,0,0
Acav3,10:49:00,10:49:00,salvetteAC,2,0,0
Acav3,10:51:00,10:51:00,madeleine1AC,3,0,0
Acav3,10:52:00,10:52:00,musique1A,4,0,0
Acav3,10:53:00,10:53:00,sicard1A,5,0,0
Acav3,10:55:00,10:55:00,briand1,6,0,0
Acav3,10:58:00,10:58:00,croze1,7,0,0
Acav3,10:59:00,10:59:00,bordeaux1,8,0,0
Acav3,11:00:00,11:00:00,cavaille,9,0,0
Acav4,11:40:00,11:40:00,sncf,1,0,0
Acav4,11:44:00,11:44:00,repu,2,0,0
Acav4,11:47:00,11:47:00,delattre,3,0,0
Acav4,11:49:00,11:49:00,salvetteAC,4,0,0
Acav4,11:51:00,11:51:00,madeleine1AC,5,0,0
Acav4,11:52:00,11:52:00,musique1A,6,0,0
Acav4,11:53:00,11:53:00,sicard1A,7,0,0
Acav4,11:55:00,11:55:00,briand1,8,0,0
Acav4,11:58:00,11:58:00,croze1,9,0,0
Acav4,11:59:00,11:59:00,bordeaux1,10,0,0
Acav4,12:00:00,12:00:00,cavaille,11,0,0
Acav5,12:40:00,12:40:00,sncf,1,0,0
Acav5,12:44:00,12:44:00,repu,2,0,0
Acav5,12:47:00,12:47:00,delattre,3,0,0
Acav5,12:49:00,12:49:00,salvetteAC,4,0,0
Acav5,12:51:00,12:51:00,madeleine1AC,5,0,0
Acav5,12:52:00,12:52:00,musique1A,6,0,0
Acav5,12:53:00,12:53:00,sicard1A,7,0,0
Acav5,12:55:00,12:55:00,briand1,8,0,0
Acav5,12:58:00,12:58:00,croze1,9,0,0
Acav5,12:59:00,12:59:00,bordeaux1,10,0,0
Acav5,13:00:00,13:00:00,cavaille,11,0,0
Acav6,13:40:00,13:40:00,sncf,1,0,0
Acav6,13:44:00,13:44:00,repu,2,0,0
Acav6,13:47:00,13:47:00,delattre,3,0,0
Acav6,13:49:00,13:49:00,salvetteAC,4,0,0
Acav6,13:51:00,13:51:00,madeleine1AC,5,0,0
Acav6,13:52:00,13:52:00,musique1A,6,0,0
Acav6,13:53:00,13:53:00,sicard1A,7,0,0
Acav6,13:55:00,13:55:00,briand1,8,0,0
Acav6,13:58:00,13:58:00,croze1,9,0,0
Acav6,13:59:00,13:59:00,bordeaux1,10,0,0
Acav6,14:00:00,14:00:00,cavaille,11,0,0
Acav7,14:40:00,14:40:00,sncf,1,0,0
Acav7,14:44:00,14:44:00,repu,2,0,0
Acav7,14:47:00,14:47:00,delattre,3,0,0
Acav7,14:49:00,14:49:00,salvetteAC,4,0,0
Acav7,14:51:00,14:51:00,madeleine1AC,5,0,0
Acav7,14:52:00,14:52:00,musique1A,6,0,0
Acav7,14:53:00,14:53:00,sicard1A,7,0,0
Acav7,14:55:00,14:55:00,briand1,8,0,0
Acav7,14:58:00,14:58:00,croze1,9,0,0
Acav7,14:59:00,14:59:00,bordeaux1,10,0,0
Acav7,15:00:00,15:00:00,cavaille,11,0,0
Acav8,15:30:00,15:30:00,sncf,1,0,0
Acav8,15:34:00,15:34:00,repu,2,0,0
Acav8,15:37:00,15:37:00,delattre,3,0,0
Acav8,15:39:00,15:39:00,salvetteAC,4,0,0
Acav8,15:41:00,15:41:00,madeleine1AC,5,0,0
Acav8,15:42:00,15:42:00,musique1A,6,0,0
Acav8,15:43:00,15:43:00,sicard1A,7,0,0
Acav8,15:45:00,15:45:00,briand1,8,0,0
Acav8,15:48:00,15:48:00,croze1,9,0,0
Acav8,15:49:00,15:49:00,bordeaux1,10,0,0
Acav8,15:50:00,15:50:00,cavaille,11,0,0
Acav9,16:15:00,16:15:00,sncf,1,0,0
Acav9,16:19:00,16:19:00,salvetteAC,2,0,0
Acav9,16:21:00,16:21:00,madeleine1AC,3,0,0
Acav9,16:22:00,16:22:00,musique1A,4,0,0
Acav9,16:23:00,16:23:00,sicard1A,5,0,0
Acav9,16:25:00,16:25:00,briand1,6,0,0
Acav9,16:28:00,16:28:00,croze1,7,0,0
Acav9,16:29:00,16:29:00,bordeaux1,8,0,0
Acav9,16:30:00,16:30:00,cavaille,9,0,0
Acav10,17:15:00,17:15:00,sncf,1,0,0
Acav10,17:19:00,17:19:00,repu,2,0,0
Acav10,17:22:00,17:22:00,delattre,3,0,0
Acav10,17:24:00,17:24:00,salvetteAC,4,0,0
Acav10,17:26:00,17:26:00,madeleine1AC,5,0,0
Acav10,17:27:00,17:27:00,musique1A,6,0,0
Acav10,17:28:00,17:28:00,sicard1A,7,0,0
